Year,Receptor,Species,Methods,Raw_Text_Methods,Brain_Regions,Topic_Spec
2011,5ht4;5ht4;5ht4;5ht4;5ht4;5ht4;5ht4;5ht4;5ht4,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,,
1996,5ht2a;5ht2c;5ht2;5ht2;5ht2a;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist');(49 u'\\bdoi'),(23 u'(?i)\\b(forebrains|forebrain)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(7 u'\\bdepressi');(4 u'\\btreatment'),
1996,5ht2c;5ht2c;5ht2;5ht2a;5ht2a;5ht2a;5ht2;5ht2a;5ht2;5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(4 u'\\btreatment');(7 u'\\bdepressi');(5 u'\\btherap');(1 u'\\bpatient'),
2005,5ht1a;5ht1a;5ht1a;5ht1a,,Method.STAINING,(54 u'\\bautoradiography'),(19 u'(?i)\\b(cortexes|cortex)\\b');(14 u'(?i)\\b(caudals|caudal)\\b'),,
2010,5ht7;5ht1a,,Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,,
2012,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(3 u'\\bimmunoreactiv');(13 u'\\bagonist'),(23 u'(?i)\\b(forebrains|forebrain)\\b'),(7 u'\\bdepressi');(4 u'\\btreatment'),
2002,5ht1a;5ht2;5ht2;5ht1a;5ht1a;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(7 u'\\bdepressi');(31 u'\\brespiratory'),
2015,5ht6;5ht6;5ht6;5ht6;5ht6;5ht6,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(32 u'\\blesions');(13 u'\\bagonist');(12 u'\\bantagonist'),(21 u'(?i)\\b(mpfcs|mpfc)\\b');(23 u'(?i)\\b(forebrains|forebrain)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(34 u'\\bparkinson');(7 u'\\bdepressi');(13 u'\\bantidepress');(26 u'\\bbehav'),
1999,5ht2;5ht2a;5ht2a;5ht1a,,Method.PET,(18 u'\\bimaging');(19 u'\\bpositron emission tomography');(17 u'\\bpet'),,(4 u'\\btreatment');(22 u'\\bschizophreni');(7 u'\\bdepressi');(2 u'\\bdisorder');(3 u'\\bclinical');(14 u'\\bcogniti');(23 u'\\bantipsychotic'),
1997,5ht3;5ht3;5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,(15 u'\\bmemory'),
1991,5ht1a;5ht1b;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(54 u'\\bautoradiography');(12 u'\\bantagonist'),(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b'),(2 u'\\bdisorder'),
2006,5ht1a;5ht1a;5ht1a;5ht1a,,Method.PET;Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist');(37 u'\\bpiperazine');(13 u'\\bagonist');(19 u'\\bpositron emission tomography');(17 u'\\bpet'),,,
2016,5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,(4 u'\\btreatment');(1 u'\\bpatient'),
2015,5ht1a,(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(18 u'\\bimaging');(12 u'\\bantagonist'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b'),,
1996,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(26 u'\\bbehav'),
1999,5ht1a;5ht1;5ht3;5ht1a;5ht2;5ht2;5ht1b;5ht1;5ht1;5ht2;5ht2,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(49 u'\\bdoi');(13 u'\\bagonist');(53 u'\\bketanserin'),,,
2005,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.IMMUNOHISTOCHEMISTRY;Method.AGONIST,(3 u'\\bimmunoreactiv');(13 u'\\bagonist');(34 u'\\b5ct'),(16 u'(?i)\\b(drns|drn)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(9 u'\\bstress');(8 u'\\banxi');(5 u'\\btherap');(2 u'\\bdisorder');(4 u'\\btreatment'),
2007,5ht1b;5ht1a;5ht1a;5ht2c;5ht2a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(12 u'\\bantagonist');(49 u'\\bdoi'),,(12 u'\\bsleep');(3 u'\\bclinical');(31 u'\\brespiratory');(5 u'\\btherap');(1 u'\\bpatient'),
2013,5ht1a;5ht1a;5ht1a;5ht1,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(51 u'\\bway100635');(12 u'\\bantagonist'),(16 u'(?i)\\b(drns|drn)\\b'),(20 u'\\bmood');(7 u'\\bdepressi');(1 u'\\bpatient'),
1992,5ht5;5ht1b;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(32 u'\\blesions');(13 u'\\bagonist'),,,
2009,5ht3;5ht3,(2 u'(?i)\\b(females|female)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.IMMUNOHISTOCHEMISTRY;Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,,
1993,5ht1a;5ht1a;5ht1a;5ht2;5ht1a;5ht1a,(2 u'(?i)\\b(females|female)\\b');(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(37 u'\\bpiperazine');(13 u'\\bagonist'),,(26 u'\\bbehav'),
2011,5ht2a;5ht2a;5ht2a,,Method.STIMULATION,(9 u'\\britanserin'),,,
2013,5ht2a,(6 u'(?i)\\b(rodents|rodent)\\b'),Method.ANTAGONIST,(41 u'\\bhaloperidol');(49 u'\\bdoi');(12 u'\\bantagonist');(40 u'\\bclozapine'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(12 u'(?i)\\b(amygdalas|amygdala)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(22 u'\\bschizophreni');(23 u'\\bantipsychotic');(26 u'\\bbehav'),
2020,5ht2c,,Method.OPTOGENETICS,,(19 u'(?i)\\b(cortexes|cortex)\\b'),(20 u'\\bmood');(26 u'\\bbehav');(16 u'\\blearning'),
1998,5ht1b;5ht1a;5ht1;5ht4;5ht2c;5ht1b;5ht1b;5ht1a;5ht2a;5ht4;5ht1a;5ht1a;5ht1b;5ht4,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist');(53 u'\\bketanserin'),(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b'),(3 u'\\bclinical'),
2002,5ht2a;5ht2c;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(11 u'\\bfluoxetine');(5 u'\\bmk801');(12 u'\\bantagonist'),,(33 u'\\blocomot'),
1992,5ht3;5ht4;5ht1c;5ht4;5ht2;5ht4;5ht1c;5ht3;5ht2;5ht1c;5ht4;5ht3;5ht4;5ht1c;5ht3;5ht3,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.ANTAGONIST,(28 u'\\bzacopride');(12 u'\\bantagonist');(53 u'\\bketanserin'),,(33 u'\\blocomot'),
2008,5ht3,,Method.AGONIST,(13 u'\\bagonist'),,,
2001,5ht3b;5ht3a;5ht3b;5ht3b;5ht3b;5ht3a,(4 u'(?i)\\b(rats|rat)\\b'),Method.IMMUNOHISTOCHEMISTRY,(3 u'\\bimmunoreactiv'),,,
2016,5ht1a;5ht2c;5ht2c;5ht1a;5ht1a;5ht2c;5ht2c;5ht1a;5ht2c;5ht2c,,Method.AGONIST,(15 u'\\b8ohdpat');(52 u'\\bmk212');(13 u'\\bagonist'),,(4 u'\\btreatment'),
1995,5ht2;5ht2;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,(24 u'\\banxiolytic');(8 u'\\banxi');(26 u'\\bbehav'),
2019,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(13 u'\\bagonist');(49 u'\\bdoi'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(15 u'\\bmemory');(14 u'\\bcogniti');(7 u'\\bdepressi'),
1995,5ht3;5ht3;5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),(18 u'(?i)\\b(putamens|putamen)\\b');(17 u'(?i)\\b(caudates|caudate)\\b'),,
2004,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,,
2009,5ht6;5ht6;5ht6;5ht6;5ht6;5ht6;5ht6,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(54 u'\\bautoradiography');(12 u'\\bantagonist'),,(17 u'\\balzheimer');(15 u'\\bmemory');(4 u'\\btreatment');(1 u'\\bpatient');(3 u'\\bclinical');(14 u'\\bcogniti');(25 u'\\bsocial'),
2008,5ht7;5ht1a,(6 u'(?i)\\b(rodents|rodent)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(11 u'\\bfluoxetine');(13 u'\\bagonist');(39 u'\\bselective serotonin reuptake inhibitor'),,(3 u'\\bclinical');(20 u'\\bmood');(26 u'\\bbehav');(2 u'\\bdisorder');(4 u'\\btreatment'),
2000,5ht1b;5ht1b;5ht1b;5ht1b;5ht1;5ht1b;5ht1b;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(3 u'\\bimmunoreactiv');(13 u'\\bagonist'),,(35 u'\\bnocicept'),
2004,5ht2;5ht1;5ht1a;5ht1a;5ht1a;5ht2a;5ht2a;5ht1a;5ht1;5ht1a;5ht2c;5ht2a;5ht2a;5ht2a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.STIMULATION;Method.AGONIST,(51 u'\\bway100635');(13 u'\\bagonist');(49 u'\\bdoi'),(21 u'(?i)\\b(mpfcs|mpfc)\\b');(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(22 u'\\bschizophreni');(4 u'\\btreatment');(23 u'\\bantipsychotic'),
2018,5ht1;5ht1;5ht1;5ht1a;5ht1;5ht1;5ht1;5ht1,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(32 u'\\blesions');(13 u'\\bagonist');(12 u'\\bantagonist'),,(12 u'\\bsleep');(26 u'\\bbehav'),
2000,5ht1b;5ht1a;5ht1a;5ht1a;5ht1b;5ht1a;5ht1a;5ht1b;5ht1a;5ht1b;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),,,,,
2008,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),,,(19 u'(?i)\\b(cortexes|cortex)\\b'),(17 u'\\balzheimer');(15 u'\\bmemory');(25 u'\\bsocial');(1 u'\\bpatient'),
2013,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist'),,(3 u'\\bclinical');(6 u'\\baggressi');(25 u'\\bsocial');(26 u'\\bbehav'),
2017,5ht1a;5ht1a;5ht1;5ht1a;5ht1a;5ht1a,(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST;Method.ANTAGONIST,(51 u'\\bway100635');(5 u'\\bmk801');(13 u'\\bagonist');(12 u'\\bantagonist');(49 u'\\bdoi'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(23 u'\\bantipsychotic');(26 u'\\bbehav'),
1991,5ht1a;5ht1;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(46 u'\\bspiperone');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2005,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(51 u'\\bway100635');(13 u'\\bagonist');(12 u'\\bantagonist'),,(9 u'\\bstress'),
2014,5ht2a,,Method.STIMULATION;Method.AGONIST,(13 u'\\bagonist'),,(4 u'\\btreatment');(34 u'\\bparkinson');(2 u'\\bdisorder');(1 u'\\bpatient');(23 u'\\bantipsychotic');(19 u'\\bpsychosis'),
1993,5ht3;5ht1a;5ht2;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(21 u'\\bipsapirone');(20 u'\\bondansetron');(9 u'\\britanserin');(13 u'\\bagonist');(12 u'\\bantagonist'),,(4 u'\\btreatment');(26 u'\\bbehav'),
1992,5ht1a;5ht1;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(22 u'\\bbuspirone');(13 u'\\bagonist');(12 u'\\bantagonist'),,(4 u'\\btreatment'),
2016,5ht1a;5ht1,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(51 u'\\bway100635');(41 u'\\bhaloperidol');(12 u'\\bantagonist'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(8 u'(?i)\\b(centrals|central)(-|\\s+)?(nervouses|nervous)(-|\\s+)?(systems|system)\\b'),(30 u'\\bpain'),
2003,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(12 u'\\bantagonist'),,(4 u'\\btreatment');(7 u'\\bdepressi');(26 u'\\bbehav');(13 u'\\bantidepress');(33 u'\\blocomot'),
2019,5ht1a,(2 u'(?i)\\b(females|female)\\b'),Method.AGONIST,(13 u'\\bagonist'),,(31 u'\\brespiratory');(8 u'\\banxi');(2 u'\\bdisorder');(26 u'\\bbehav');(1 u'\\bpatient'),
2005,5ht1a;5ht1a;5ht1a,(3 u'(?i)\\b(males|male)\\b');(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(13 u'\\bagonist'),(4 u'(?i)\\b(presynaptics|presynaptic)\\b');(3 u'(?i)\\b(postsynaptics|postsynaptic)\\b'),(6 u'\\baggressi');(26 u'\\bbehav'),
1990,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(46 u'\\bspiperone');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2006,5ht2a,,Method.PET,(19 u'\\bpositron emission tomography'),,(5 u'\\btherap');(7 u'\\bdepressi');(4 u'\\btreatment');(2 u'\\bdisorder');(1 u'\\bpatient');(13 u'\\bantidepress');(19 u'\\bpsychosis'),
2016,5ht1a;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.STIMULATION;Method.IMMUNOHISTOCHEMISTRY;Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(51 u'\\bway100635');(13 u'\\bagonist');(12 u'\\bantagonist'),(14 u'(?i)\\b(caudals|caudal)\\b'),(8 u'\\banxi');(2 u'\\bdisorder');(26 u'\\bbehav');(18 u'\\bavoidan'),
2010,5ht2c,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.KNOCKOUT;Method.AGONIST,(13 u'\\bagonist'),,(4 u'\\btreatment');(26 u'\\bbehav'),
2017,5ht1a,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist'),,(15 u'\\bmemory');(4 u'\\btreatment');(26 u'\\bbehav');(16 u'\\blearning');(6 u'\\baggressi');(14 u'\\bcogniti');(23 u'\\bantipsychotic'),
2014,5ht1a;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(22 u'\\bbuspirone');(13 u'\\bagonist'),,(9 u'\\bstress');(8 u'\\banxi');(25 u'\\bsocial');(26 u'\\bbehav'),
2004,5ht1a;5ht2;5ht2a;5ht1a;5ht1a;5ht2;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(13 u'\\bagonist');(49 u'\\bdoi'),(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),(4 u'\\btreatment'),
2005,5ht1a;5ht2;5ht1;5ht1a;5ht1c;5ht5;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist');(53 u'\\bketanserin');(37 u'\\bpiperazine');(13 u'\\bagonist');(34 u'\\b5ct'),,(26 u'\\bbehav'),
2005,5ht6;5ht6;5ht6;5ht6;5ht6,,Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(8 u'\\banxi');(14 u'\\bcogniti');(7 u'\\bdepressi');(2 u'\\bdisorder'),
1991,5ht1d;5ht1d;5ht1d;5ht1d,,Method.AGONIST,(7 u'\\bpropranolol');(13 u'\\bagonist');(47 u'\\bsumatriptan'),(15 u'(?i)\\b(substantias|substantia)(-|\\s+)?(nigras|nigra)\\b');(17 u'(?i)\\b(caudates|caudate)\\b'),,
1998,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(41 u'\\bhaloperidol');(23 u'\\bmdl');(12 u'\\bantagonist'),,(26 u'\\bbehav'),
2011,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.AGONIST,(13 u'\\bagonist');(49 u'\\bdoi'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(5 u'\\btherap');(26 u'\\bbehav');(22 u'\\bschizophreni');(4 u'\\btreatment');(33 u'\\blocomot');(23 u'\\bantipsychotic');(19 u'\\bpsychosis'),
2011,5ht1a;5ht1a;5ht1a;5ht1a;5ht1a,,Method.PET;Method.ANTAGONIST,(19 u'\\bpositron emission tomography');(12 u'\\bantagonist');(17 u'\\bpet'),(19 u'(?i)\\b(cortexes|cortex)\\b'),(1 u'\\bpatient'),
2012,5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.PET,(51 u'\\bway100635');(17 u'\\bpet'),(9 u'(?i)\\b(cerebellums|cerebellum)\\b'),,
1989,5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(35 u'\\badenosine');(46 u'\\bspiperone');(13 u'\\bagonist');(12 u'\\bantagonist');(34 u'\\b5ct'),,(26 u'\\bbehav'),
2016,5ht1a;5ht2a;5ht1a;5ht2a;5ht1a;5ht2a,(4 u'(?i)\\b(rats|rat)\\b'),Method.IMMUNOHISTOCHEMISTRY;Method.AGONIST;Method.ANTAGONIST,(15 u'\\b8ohdpat');(12 u'\\bantagonist');(23 u'\\bmdl');(53 u'\\bketanserin');(13 u'\\bagonist');(49 u'\\bdoi'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(9 u'\\bstress'),
2013,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(32 u'\\blesions');(13 u'\\bagonist'),,(34 u'\\bparkinson');(26 u'\\bbehav');(27 u'\\bdyskinesia');(4 u'\\btreatment'),
2008,5ht1a;5ht1a;5ht1a;5ht2a;5ht1a;5ht2a;5ht2a;5ht2a;5ht1a;5ht2c;5ht2;5ht2,(4 u'(?i)\\b(rats|rat)\\b');(3 u'(?i)\\b(males|male)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(11 u'\\bfluoxetine');(36 u'\\bbenzodiazepine');(37 u'\\bpiperazine');(13 u'\\bagonist');(49 u'\\bdoi'),,(26 u'\\bbehav');(13 u'\\bantidepress');(4 u'\\btreatment'),
1997,5ht3;5ht3;5ht3;5ht3;5ht3;5ht3,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2000,5ht7;5ht7;5ht1a,,Method.ANTAGONIST,(12 u'\\bantagonist'),,,
2019,5ht2c;5ht2c;5ht2c,(2 u'(?i)\\b(females|female)\\b');(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(4 u'\\btreatment');(26 u'\\bbehav'),
1985,5ht1a;5ht1;5ht1;5ht1a;5ht1a;5ht1;5ht1;5ht1;5ht1a;5ht1a;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(46 u'\\bspiperone');(27 u'\\blsd');(12 u'\\bantagonist');(29 u'\\bdiethylamide');(35 u'\\badenosine');(13 u'\\bagonist'),(11 u'(?i)\\b(cerebrals|cerebral)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),,
2002,5ht2c;5ht2c;5ht2;5ht2a;5ht2a;5ht2a;5ht2c;5ht2c;5ht2a;5ht2b;5ht2b,(4 u'(?i)\\b(rats|rat)\\b'),Method.ANTAGONIST,(50 u'\\bm100907');(12 u'\\bantagonist'),,(33 u'\\blocomot');(26 u'\\bbehav'),
1999,5ht3;5ht3;5ht3;5ht3;5ht3,(4 u'(?i)\\b(rats|rat)\\b'),,,,(26 u'\\bbehav'),
2019,5ht1a,,Method.PET,(18 u'\\bimaging');(17 u'\\bpet'),,(2 u'\\bdisorder');(34 u'\\bparkinson');(26 u'\\bbehav');(27 u'\\bdyskinesia'),
2002,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(15 u'\\b8ohdpat');(32 u'\\blesions');(13 u'\\bagonist');(44 u'\\btetrodotoxin'),,,
2001,5ht2a,,Method.AGONIST;Method.ANTAGONIST,(41 u'\\bhaloperidol');(50 u'\\bm100907');(13 u'\\bagonist');(12 u'\\bantagonist');(40 u'\\bclozapine'),(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(22 u'\\bschizophreni');(33 u'\\blocomot');(26 u'\\bbehav');(23 u'\\bantipsychotic'),
1993,5ht3;5ht1c;5ht1c;5ht1b;5ht1a;5ht2;5ht1c,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(46 u'\\bspiperone');(33 u'\\bmcpp');(13 u'\\bagonist');(12 u'\\bantagonist'),,,
2003,5ht5;5ht3,,,,,,
2003,5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a;5ht2a,,,(27 u'\\blsd');(29 u'\\bdiethylamide'),,(5 u'\\btherap');(26 u'\\bbehav');(20 u'\\bmood');(7 u'\\bdepressi');(2 u'\\bdisorder');(1 u'\\bpatient');(4 u'\\btreatment'),
2002,5ht1b;5ht1b;5ht1b;5ht1b;5ht1b;5ht1b;5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST;Method.ANTAGONIST,(30 u'\\b2methyl');(13 u'\\bagonist');(12 u'\\bantagonist'),,(5 u'\\btherap');(26 u'\\bbehav');(7 u'\\bdepressi');(2 u'\\bdisorder');(8 u'\\banxi');(33 u'\\blocomot');(4 u'\\btreatment'),
1992,5ht1;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(22 u'\\bbuspirone');(13 u'\\bagonist'),,(7 u'\\bdepressi');(4 u'\\btreatment'),
2010,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),,(22 u'\\bbuspirone'),,(26 u'\\bbehav');(9 u'\\bstress');(5 u'\\btherap');(13 u'\\bantidepress');(4 u'\\btreatment'),
1998,5ht1b;5ht1b;5ht1;5ht1b;5ht1b;5ht1b;5ht1d;5ht1b;5ht1a;5ht1b;5ht1b,(6 u'(?i)\\b(rodents|rodent)\\b'),Method.AGONIST;Method.ANTAGONIST,(13 u'\\bagonist');(12 u'\\bantagonist'),,(26 u'\\bbehav'),
1999,5ht1b,(4 u'(?i)\\b(rats|rat)\\b'),,,(20 u'(?i)\\b(prefrontals|prefrontal)\\b');(19 u'(?i)\\b(cortexes|cortex)\\b'),(13 u'\\bantidepress'),
2016,5ht1a;5ht1a;5ht1a,(5 u'(?i)\\b(mices|mice)\\b');(1 u'(?i)\\b(mice|mouse)\\b'),Method.PET;Method.KNOCKOUT,(19 u'\\bpositron emission tomography');(1 u'\\bneuroimag');(17 u'\\bpet'),,,
1990,5ht1a;5ht1;5ht1a;5ht1a;5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),Method.AGONIST,(13 u'\\bagonist'),,,
1996,5ht1a,(4 u'(?i)\\b(rats|rat)\\b'),,(38 u'\\bssri');(22 u'\\bbuspirone');(39 u'\\bselective serotonin reuptake inhibitor'),,(3 u'\\bclinical');(7 u'\\bdepressi');(13 u'\\bantidepress');(2 u'\\bdisorder'),
